,DI,RTE,CO,PM,CS,LEG,YR,AM_DIR,AM_WAY_PHV,AM_K_FACTOR_AMT,AM_D_FACTOR_AMT,AM_KD_FACTOR,AM_HOUR,AM_DAY,AM_MONTH,PM_DIR,PM_WAY_PHV,PM_K_FACTOR_AMT,PM_D_FACTOR_AMT,PM_KD_FACTOR,PM_HOUR,PM_DAY,PM_MONTH
1198,3,267,NEV,1.419,929,A,20,W,954,10.5,56.89,5.98,12,THU,JAN,W,1043,11.55,56.56,6.53,16,FRI,JAN
1199,3,267,NEV,1.419,928,B,20,W,866,8.02,71.57,5.74,10,SUN,FEB,W,991,10.18,64.56,6.57,16,MON,FEB
1200,3,267,PLA,3.76,930,B,20,E,830,11.99,60.32,7.23,10,SUN,JUL,E,919,11.13,71.97,8.01,16,SUN,JAN
1201,3,267,PLA,6.23,931,B,21,E,669,12.98,50.64,6.57,11,SUN,JUL,W,808,13.71,57.92,7.94,16,FRI,JUL
1202,3,267,PLA,9.898,935,B,21,W,606,10.66,56.48,6.02,11,SUN,JUL,W,679,9.47,71.25,6.74,16,FRI,JUN
1203,6,269,KIN,0,930,A,20,S,179,10.41,82.87,8.63,5,WED,SEP,N,113,9.49,57.36,5.45,16,TUE,MAR
1204,6,269,FRE,12.747,306,B,20,N,407,10.91,80.12,8.74,5,WED,SEP,S,370,11.81,67.27,7.94,15,MON,JUN
1205,6,269,FRE,24.764,940,B,20,S,265,13.82,72.8,10.06,6,TUE,MAR,N,224,12.23,69.57,8.5,16,TUE,MAR
1206,9,270,MNO,0,978,A,21,E,51,26.34,86.44,22.77,10,SAT,MAY,W,53,28.13,84.13,23.66,15,SUN,JUN
1207,1,271,MEN,7.29,196,B,21,N,76,18.11,52.78,9.56,12,SAT,JUN,N,80,18.11,55.56,10.06,14,SAT,JUL
